NAME	LSEC	hepatocytes	KC	B cells	HSC	cholangiocytes	T cells	DC/monocyte	proliferating cells
Asgr1	1	215.588246472016	1	1	1	1	1	1	1
Asl	1	1977.18226931152	1	327.172849221562	1	1	432.903884236845	1	1
Aspg	1	1354.39758594456	1	1	1	1	324.500674637287	1	1
Asph	1	1	219.56767937107	1	328.335969206227	209.015123138344	1	1	1
Astn2	1	1	1	1	1132.10210168626	1	1	1	1
Atad2	1	1	1	1	1	1	1	305.641217628327	1709.45531829487
Atad3a	1	238.962602421172	1	1	1	1	1	1	1
Atad5	1	1	1	1	1	1	1	1	759.851833018602
Atf1	1	1	1	1	1	1	1	1	134.595394114052
Atg10	1	1	294.99413519766	235.550417258373	1	1	1	215.31384619393	1
Atg16l1	1	134.472822283449	1	1	1	1	1	198.346570464895	1
Atg7	1	96.109149974697	224.904954661133	1	1	1	1	1	1
Atl3	1	133.325235843355	1	1	192.778137642638	195.392586744618	1	1	1
Atp10a	1	1	1	1	1	246.537382837968	1	1	1
Atp11a	1	1	1	1	1	272.200454001892	1	1	1
Atp13a2	1	1	481.27000711187	1	1	1	1	1	1
Atp1a1	1	1	1	1	1	935.746438093163	1	1	1
Atp1b1	1	284.663132406698	1	240.558237881676	1	801.643421992613	1	1	1
Atp2a3	1	1	1	422.824050552105	1	1	323.245022048748	1	1
Atp2b4	519.710996835442	1	1	1	1	1	336.618806356174	1	382.713312448158
Atp5b	1	184.183628131898	1	1	1	310.907138887463	267.240390568596	1	1
Atp6ap1	1	1	245.609851953048	1	1	1	1	1	1
Atp6v0a1	313.876733761585	1	379.641601406038	1	1	1	1	189.164589342147	153.263010063026
Atp6v0a2	1	1	1	1	1	1	1	350.07190279041	1
Atp6v0c	1	1	305.994404535307	1	1	1	1	1	142.469116722985
Atp6v0d1	1	1	223.917960060967	1	1	1	1	1	1
Atp6v1a	1	1	241.922665735977	1	1	1	1	1	1
Atp6v1b2	1	1	356.702636741145	1	1	1	1	273.64001114879	1
Atp7a	1	1	402.909401696623	1	1	1	1	361.870462421103	1
Atp8a2	1	1	1	1	1	1	1091.73633710063	1	1
